iter	Passed	Remaining
0	165	165370
1	168	84129
2	171	56962
3	174	43394
4	177	35368
5	180	29972
6	184	26120
7	187	23213
8	191	21101
9	195	19313
10	198	17840
11	201	16608
12	204	15559
13	208	14653
14	211	13892
15	214	13212
16	218	12626
17	224	12224
18	229	11859
19	233	11438
20	237	11054
21	242	10776
22	245	10443
23	250	10183
24	255	9982
25	259	9709
26	262	9463
27	267	9274
28	272	9129
29	277	8976
30	284	8885
31	291	8809
32	295	8660
33	299	8495
34	303	8376
35	308	8265
36	312	8128
37	315	7997
38	321	7912
39	324	7790
40	327	7662
41	330	7536
42	334	7434
43	338	7346
44	341	7237
45	343	7130
46	346	7030
47	350	6957
48	354	6879
49	357	6797
50	361	6717
51	364	6640
52	368	6575
53	371	6500
54	373	6423
55	376	6350
56	379	6283
57	384	6237
58	386	6172
59	389	6107
60	393	6055
61	399	6040
62	402	5988
63	405	5937
64	410	5901
65	416	5890
66	420	5848
67	424	5813
68	428	5776
69	433	5757
70	437	5726
71	442	5707
72	446	5675
73	450	5635
74	454	5605
75	457	5562
76	460	5519
77	464	5494
78	468	5459
79	471	5418
80	474	5379
81	477	5346
82	481	5317
83	484	5280
84	487	5244
85	490	5209
86	493	5182
87	498	5163
88	501	5134
89	505	5106
90	508	5078
91	513	5068
92	517	5042
93	520	5014
94	523	4985
95	527	4968
96	531	4945
97	535	4926
98	538	4902
99	543	4890
100	547	4870
101	551	4851
102	555	4834
103	559	4816
104	562	4795
105	566	4780
106	570	4760
107	575	4749
108	578	4726
109	581	4703
110	584	4678
111	587	4654
112	591	4643
113	595	4628
114	598	4606
115	601	4585
116	604	4562
117	608	4550
118	612	4537
119	616	4521
120	620	4504
121	624	4493
122	628	4478
123	631	4461
124	636	4453
125	639	4438
126	643	4424
127	648	4420
128	652	4403
129	656	4394
130	659	4377
131	662	4358
132	665	4339
133	668	4321
134	672	4311
135	675	4294
136	678	4276
137	681	4259
138	685	4244
139	689	4233
140	692	4220
141	695	4204
142	699	4190
143	703	4181
144	708	4177
145	712	4168
146	718	4170
147	722	4160
148	726	4149
149	730	4137
150	733	4124
151	737	4113
152	741	4102
153	744	4088
154	747	4075
155	751	4066
156	754	4053
157	758	4040
158	761	4027
159	764	4012
160	768	4003
161	771	3992
162	775	3982
163	778	3970
164	782	3958
165	785	3948
166	789	3937
167	792	3926
168	795	3912
169	799	3902
170	802	3891
171	806	3881
172	809	3868
173	811	3854
174	816	3849
175	822	3849
176	825	3840
177	829	3828
178	832	3819
179	836	3810
180	840	3803
181	844	3794
182	848	3789
183	852	3779
184	855	3769
185	859	3761
186	863	3754
187	866	3744
188	870	3737
189	875	3731
190	878	3722
191	883	3716
192	886	3706
193	889	3694
194	892	3683
195	896	3678
196	900	3670
197	903	3659
198	906	3648
199	909	3638
200	914	3635
201	918	3629
202	922	3620
203	925	3612
204	930	3607
205	933	3598
206	936	3588
207	939	3577
208	943	3569
209	946	3562
210	950	3554
211	953	3544
212	956	3533
213	961	3529
214	964	3522
215	967	3512
216	970	3503
217	973	3493
218	978	3488
219	981	3480
220	984	3469
221	987	3460
222	990	3452
223	995	3447
224	998	3439
225	1001	3429
226	1004	3419
227	1008	3414
228	1012	3407
229	1014	3398
230	1017	3388
231	1020	3379
232	1025	3374
233	1028	3367
234	1031	3358
235	1034	3348
236	1037	3339
237	1042	3337
238	1046	3332
239	1049	3323
240	1052	3314
241	1056	3309
242	1060	3302
243	1064	3296
244	1067	3288
245	1071	3284
246	1076	3280
247	1079	3273
248	1082	3265
249	1086	3260
250	1090	3253
251	1093	3246
252	1098	3243
253	1102	3236
254	1106	3234
255	1110	3226
256	1113	3218
257	1116	3210
258	1120	3205
259	1124	3200
260	1127	3192
261	1130	3184
262	1133	3176
263	1138	3173
264	1141	3167
265	1144	3159
266	1147	3151
267	1152	3147
268	1156	3141
269	1159	3134
270	1162	3126
271	1165	3118
272	1170	3116
273	1173	3110
274	1176	3102
